trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.01, 'e': 0.4147829116815814}",25,13,-44.15248166766599,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
89,False,"{'a': 0.01, 'e': 0.4106557527523455}",20,0,9.514092153276529,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.4065696597405991}",25,5,-92.63943082212725,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",1
91,False,"{'a': 0.01, 'e': 0.40252422403363597}",20,0,20.964191786496144,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
92,False,"{'a': 0.01, 'e': 0.39851904108451414}",35,21,-67.69887444050245,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 1}",1
93,False,"{'a': 0.01, 'e': 0.3945537103716011}",25,18,11.259307074158063,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.3906278353585211}",20,6,24.622347966046107,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.3867410234545012}",30,0,-3.0900293620021237,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.38289288597511206}",25,6,-75.48163446267101,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
97,False,"{'a': 0.01, 'e': 0.37908303810339883}",20,0,8.1168659492147,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.37531109885139957}",25,10,15.175890873101682,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.3715766910220457}",30,10,-28.704361966545896,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
100,False,"{'a': 0.01, 'e': 0.36787944117144233}",25,5,23.020488119078056,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.3642189795715233}",30,0,-76.10045553447479,"{0: 25, 1: 2, 2: 0, 3: 1, 4: 2}",0
